#repetition,Consumer0,Consumer1,Consumer2,Consumer3,Consumer4,Consumer5,Consumer6,Consumer7,Consumer8,Consumer9,Consumer10,Consumer11,Consumer12,Consumer13,Consumer14,Consumer15,Consumer16,Consumer17,Consumer18,Consumer19,Consumer20,Consumer21,Consumer22,Consumer23,Consumer24,Consumer25,Consumer26,Consumer27,Consumer28,Consumer29,Consumer30,Consumer31,Consumer32,Consumer33,Consumer34,Consumer35,Consumer36,Consumer37,Consumer38,Consumer39,Consumer40,Consumer41,Consumer42,Consumer43,Consumer44,Consumer45,Consumer46,Consumer47,Consumer48,Consumer49
10,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.5,0.0,0.75,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.75,0.75,0.75,0.0,0.0,0.5,0.0,0.0
11,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.5,0.75,0.75,0.0,0.75,0.75,0.75,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.75,0.75,0.0,0.75,0.0
12,0.5,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.5,0.0,0.75,0.75,0.0,0.0,0.75,0.5,0.0,0.0,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.75,0.75,0.75,0.0,0.0,0.5,0.0,0.0
13,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.0,0.75,0.75,0.75,0.5,0.0,0.0,0.75,0.5,0.75,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75,0.0,0.75,0.0,0.5,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.75,0.5,0.0,0.0
14,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.75,0.0,0.0,0.0,0.75,0.75,0.75,0.0,0.5,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.5,0.75,0.75,0.0,0.0,0.5,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.0,0.0,0.75,0.5,0.0,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.5,0.75,0.5,0.75,0.0,0.0,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.75
16,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.75,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.75,0.75,0.0,0.75,0.5,0.0,0.0
17,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.5,0.75,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.75,0.75,0.75,0.75,0.5,0.75,0.0,0.0,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.75
18,0.75,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.75,0.75,0.0,0.0,0.75,0.75,0.75,0.5,0.0,0.75,0.0,0.75,0.0,0.5,0.75,0.75,0.0,0.0,0.75,0.75,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.0,0.75,0.5,0.0,0.0
19,0.0,0.0,0.0,0.5,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.75,0.75,0.75,0.0,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75
20,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.75,0.75,0.75,0.0,0.0,0.75,0.0,0.75,0.0,0.0,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.75,0.5,0.75,0.75,0.0,0.5,0.0,0.0
21,0.75,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.5,0.75,0.0,0.0,0.75,0.75,0.75,0.0,0.0,0.75,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.75,0.75
22,0.0,0.0,0.75,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.75,0.0,0.75,0.5,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.0,0.5,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.75,0.0,0.0,0.75,0.75,0.75,0.75,0.75,0.0,0.5,0.0,0.0
23,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.75,0.0,0.0,0.75,0.0,0.75,0.0,0.5,0.0,0.0,0.75,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.75,0.0,0.5,0.0,0.0,0.75,0.75,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75
24,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.75,0.0,0.75,0.0,0.75,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.75,0.0,0.75,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.5,0.0,0.0
25,0.75,0.75,0.75,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.5,0.75,0.0
26,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.75,0.0,0.75,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.5,0.5,0.0,0.0
27,0.0,0.0,0.75,0.75,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.5,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.75,0.0,0.75,0.75,0.0,0.0,0.0,0.75,0.75,0.0,0.5,0.75,0.0
28,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.0,0.0,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.5,0.0,0.0
29,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.75,0.75,0.0,0.75,0.75,0.0,0.5,0.75,0.5,0.0,0.75,0.75,0.0,0.0,0.75,0.75,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.0,0.5,0.75,0.0
30,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.0,0.0,0.75,0.75,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.5,0.0,0.75,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.0,0.0,0.0,0.75,0.5,0.0,0.0
31,0.0,0.75,0.0,0.75,0.0,0.75,0.75,0.0,0.75,0.0,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.75,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.5,0.75,0.0,0.0,0.0,0.75,0.75,0.75,0.0,0.5,0.75,0.75
32,0.0,0.0,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.0,0.75,0.0,0.0,0.75,0.5,0.0,0.5,0.0,0.75,0.0,0.0,0.0,0.75,0.5,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.75,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.5,0.75,0.0,0.75,0.75,0.0,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.75,0.0,0.0,0.5,0.0,0.75
34,0.0,0.0,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.75,0.0,0.5,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.0,0.75,0.0,0.0,0.75,0.75,0.5,0.75,0.0,0.75,0.0,0.0,0.0,0.5,0.5,0.0,0.0
35,0.75,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.0,0.5,0.75,0.0
36,0.0,0.0,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.5,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.75,0.0,0.0,0.0,0.75,0.5,0.0,0.0
37,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.5,0.0,0.0,0.75,0.0,0.75,0.75,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.75,0.0,0.5,0.75,0.75
38,0.75,0.0,0.0,0.5,0.75,0.0,0.75,0.0,0.75,0.75,0.75,0.0,0.0,0.75,0.0,0.5,0.75,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.5,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0
39,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.75,0.5,0.0,0.75,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.0,0.0,0.5,0.5,0.75
40,0.75,0.0,0.75,0.0,0.0,0.0,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.75,0.0,0.5,0.5,0.0,0.0,0.75,0.75,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.5,0.0,0.0,0.0,0.75,0.5,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.5,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.75,0.0,0.75,0.0,0.0,0.75,0.75
42,0.0,0.0,0.0,0.75,1.0,0.0,0.0,0.75,0.75,0.75,0.75,0.0,0.0,0.75,0.0,0.5,0.75,0.75,0.0,0.75,0.75,0.0,0.75,0.75,0.75,0.0,0.0,0.0,0.75,0.0,0.75,0.0,0.0,0.75,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.0,0.75,0.5,0.0,0.0
43,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.75,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.0,0.0,0.75,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75
44,0.0,0.0,0.75,0.75,0.75,0.0,0.0,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.75,0.0,0.75,0.0,0.75,0.75,0.75,0.0,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.5,0.0,0.0
45,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.5,0.75,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.5,0.5,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.75,0.5,0.0,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.5,0.75,0.0
46,0.0,0.0,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.75,0.0,0.75,0.0,0.0,0.75,0.75,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.75,0.75,0.75,0.0,0.0,0.75
47,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.75,0.75,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.5,0.75,0.0,0.75,0.0,0.0,0.0,0.5,0.0,0.0
48,0.75,0.0,0.0,0.75,0.75,0.0,0.75,0.0,0.5,0.75,0.0,0.0,0.75,0.0,0.0,0.5,0.0,0.0,0.75,0.75,0.5,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.75,0.75,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.5,0.75,0.75
49,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.5,0.0,0.0
50,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.75,0.0,0.0,0.75,0.5,0.5,0.75
51,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.5,0.0,0.0,0.0,0.75,0.75,0.0,0.5,0.0,0.0,0.75,0.0,0.75,0.75,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
52,0.0,0.0,0.0,0.75,0.75,0.0,0.75,0.0,0.0,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.75,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.5,0.75,0.0
53,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.75,0.75,0.75,0.75,0.0,0.0,0.75,0.0,0.0,0.75,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.0,0.5,0.75,0.5,0.0,0.75,0.0,0.0,0.5,0.0,0.0
54,0.75,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.5,0.0,0.75,0.75,0.0,0.75,0.0,0.5,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.5,0.0,0.0
55,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.0,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.0,0.0,0.75,0.75,0.75,0.0,0.0,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.75,0.75
56,0.75,0.0,0.0,0.75,0.0,0.75,0.0,0.0,0.75,0.0,0.5,0.5,0.0,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
57,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.0,0.0,0.75,0.0,0.75,0.0,0.75,0.0,0.0,0.75,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.75,0.75,0.0,0.0,0.75,0.75,0.0,0.0,0.75,0.0
58,0.75,0.0,0.5,0.75,0.75,0.0,0.0,0.0,0.75,0.0,0.75,0.75,0.0,0.75,0.0,0.5,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.5,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.5,0.0,0.75
59,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.5,0.75,0.0,0.0,0.75,0.75,0.0,0.0,1.0,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.75,0.0,0.0,0.75,0.75,0.75,0.5,0.75,0.0
60,0.75,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.75,0.75,0.75,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.5,0.0,0.75
61,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.5,0.0,0.0,0.75,0.0,0.75,0.5,0.75,0.0,0.75,0.75,0.0,0.0,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.5,0.75,0.75,0.5,0.75,0.0
62,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.75,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.75,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.0,0.0,0.75,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.5,0.0,0.0
63,0.0,0.75,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.75,0.0,0.75,0.0,0.75,0.5,0.5,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.75,0.0,0.75,0.0
64,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.5,0.0,0.75,0.0,0.0,0.5,0.0,0.75,0.0,0.0,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.75,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.75,0.0,0.75,0.0,0.75,0.75,0.5,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75,0.0,0.5,0.0,0.0,0.0,0.75,0.0,0.5,0.0,0.0,0.75,0.75,0.75,0.5,0.0,0.0
